Station Id,Station,Précédent,Suivant,Temps entre 2 stations,Temps de Changement
1,Porte Maillot,,2,0,
2,Argentine,1,3,3,
3,Charles de Gaulle - Etoile,2,4,2,3
4,George V,3,5,3,
5,Franklin D. Roosevelt,4,6,2,
6,Champs-Elysées - Clemenceau,5,7,3,
7,Concorde,6,8,2,
8,Tuileries,7,9,4,
9,Palais Royal - Musée du Louvre,8,10,2,
10,Louvre - Rivoli,9,11,3,
11,Châtelet,10,12,2,
12,Hôtel de Ville,11,13,3,
13,Saint-Paul (Le Marais),12,14,2,
14,Bastille,13,15,4,
15,Gare de Lyon,14,16,2,
16,Reuilly - Diderot,15,17,2,
17,Nation,16,18,2,
18,Porte de Vincennes,17,19,2,
19,Château de Vincennes,18,,1,
20,Porte Dauphine,,21,0,
21,Victor Hugo,20,22,2,
22,Charles de Gaulle - Etoile,21,23,1,3
23,Ternes,22,24,2,
24,Courcelles,23,25,1,
25,Monceau,24,26,2,
26,Villiers,25,27,1,
27,Rome,26,28,3,
28,Place de Clichy,27,29,2,
29,Blanche,28,30,1,
30,Pigalle,29,31,2,
31,Anvers,30,32,3,
32,Barbès - Rochechouart,31,33,2,
33,La Chapelle,32,34,5,
34,Stalingrad,33,35,2,
35,Jaurès,34,36,2,
36,Colonel Fabien,35,37,2,
37,Belleville,36,38,2,
38,Couronnes,37,39,2,
39,Ménilmontant,38,40,1,
40,Père Lachaise,39,41,1,
41,Philippe Auguste,40,42,1,
42,Alexandre Dumas,41,43,2,
43,Avron,42,44,1,
44,Nation,43,,2,
45,Porte de Champerret,,,,
46,Pereire,,,,
47,Wagram,,,,
48,Malesherbes,,,,
49,Villiers,,,,
50,Europe,,,,
51,Saint-Lazare,,,,
52,Havre-Caumartin,,,,
53,Opéra,,,,
54,Quatre Septembre,,,,
55,Bourse,,,,
56,Sentier,,,,
57,Réaumur - Sébastopol,,,,
58,Arts et Métiers,,,,
59,Temple,,,,
60,République,,,,
61,Parmentier,,,,
62,Rue Saint-Maur,,,,
63,Père Lachaise,,,,
64,Gambetta,,,,
65,Porte de Bagnolet,,,,
66,Porte des Lilas,,,,
67,Saint-Fargeau,,,,
68,Pelleport,,,,
69,Gambetta,,,,
70,Porte de Clignancourt,,,,
71,Simplon,,,,
72,Marcadet - Poissonniers,,,,
73,Château Rouge,,,,
74,Barbès - Rochechouart,,,,
75,Gare du Nord,,,,
76,Gare de l'Est,,,,
77,Château d'Eau,,,,
78,Strasbourg - Saint-Denis,,,,
79,Réaumur - Sébastopol,,,,
80,Etienne Marcel,,,,
81,Les Halles,,,,
82,Châtelet,,,,
83,Cité,,,,
84,Saint-Michel,,,,
85,Odéon,,,,
86,Saint-Germain-des-Prés,,,,
87,Saint-Sulpice,,,,
88,Saint-Placide,,,,
89,Montparnasse Bienvenue,,,,
90,Vavin,,,,
91,Raspail,,,,
92,Denfert-Rochereau,,,,
93,Mouton-Duvernet,,,,
94,Alésia,,,,
95,Porte d'Orléans,,,,
96,Porte de Pantin,,,,
97,Ourcq,,,,
98,Laumière,,,,
99,Jaurès,,,,
100,Stalingrad,,,,
101,Gare du Nord,,,,
102,Gare de l'Est,,,,
103,Jacques Bonsergent,,,,
104,République,,,,
105,Oberkampf,,,,
106,Richard-Lenoir,,,,
107,Bréguet-Sabin,,,,
108,Bastille,,,,
109,Quai de la Rapée,,,,
110,Gare d'Austerlitz,,,,
111,Saint-Marcel,,,,
112,Campo-Formio,,,,
113,Place d'Italie,,,,
114,Charles de Gaulle - Etoile,,,,
115,Kléber,,,,
116,Boissière,,,,
117,Trocadéro,,,,
118,Passy,,,,
119,Bir-Hakeim,,,,
120,Dupleix,,,,
121,La Motte-Picquet - Grenelle,,,,
122,Cambronne,,,,
123,Sèvres-Lecourbe,,,,
124,Pasteur,,,,
125,Montparnasse Bienvenue,,,,
126,Edgar Quinet,,,,
127,Raspail,,,,
128,Denfert-Rochereau,,,,
129,Saint-Jacques,,,,
130,Glacière,,,,
131,Corvisart,,,,
132,Place d'Italie,,,,
133,Nationale,,,,
134,Chevaleret,,,,
135,Quai de la Gare,,,,
136,Bercy,,,,
137,Dugommier,,,,
138,Daumesnil,,,,
139,Bel-Air,,,,
140,Picpus,,,,
141,Nation,,,,
142,Porte de la Villette,,,,
143,Corentin Cariou,,,,
144,Crimée,,,,
145,Riquet,,,,
146,Stalingrad,,,,
147,Louis Blanc,,,,
148,Château Landon,,,,
149,Gare de l'Est,,,,
150,Poissonnière,,,,
151,Cadet,,,,
152,Le Peletier,,,,
153,Chaussée d'Antin - La Fayette,,,,
154,Opéra,,,,
155,Pyramides,,,,
156,Palais Royal - Musée du Louvre,,,,
157,Pont Neuf,,,,
158,Châtelet,,,,
159,Pont Marie (Cité des Arts),,,,
160,Sully - Morland,,,,
161,Jussieu,,,,
162,Place Monge,,,,
163,Censier - Daubenton,,,,
164,Les Gobelins,,,,
165,Place d'Italie,,,,
166,Tolbiac,,,,
167,Maison Blanche,,,,
168,Porte d'Italie,,,,
169,Porte de Choisy,,,,
170,Porte d'Ivry,,,,
171,Maison Blanche,,,,
172,Louis Blanc,,,,
173,Jaurès,,,,
174,Bolivar,,,,
175,Buttes Chaumont,,,,
176,Botzaris,,,,
177,Place des Fêtes,,,,
178,Pré-Saint-Gervais,,,,
179,Danube,,,,
180,Botzaris,,,,
181,Balard,,,,
182,Lourmel,,,,
183,Boucicaut,,,,
184,Félix Faure,,,,
185,Commerce,,,,
186,La Motte-Picquet - Grenelle,,,,
187,Ecole Militaire,,,,
188,La Tour-Maubourg,,,,
189,Invalides,,,,
190,Concorde,,,,
191,Madeleine,,,,
192,Opéra,,,,
193,Richelieu - Drouot,,,,
194,Grands Boulevards,,,,
195,Bonne Nouvelle,,,,
196,Strasbourg - Saint-Denis,,,,
197,République,,,,
198,Filles du Calvaire,,,,
199,Saint-Sébastien - Froissart,,,,
200,Chemin Vert,,,,
201,Bastille,,,,
202,Ledru-Rollin,,,,
203,Faidherbe - Chaligny,,,,
204,Reuilly - Diderot,,,,
205,Montgallet,,,,
206,Daumesnil,,,,
207,Michel Bizot,,,,
208,Porte Dorée,,,,
209,Porte de Charenton,,,,
210,Porte de Saint-Cloud,,,,
211,Exelmans,,,,
212,Michel-Ange - Molitor,,,,
213,Michel-Ange - Auteuil,,,,
214,Jasmin,,,,
215,Ranelagh,,,,
216,La Muette,,,,
217,Rue de la Pompe,,,,
218,Trocadéro,,,,
219,Iéna,,,,
220,Alma - Marceau,,,,
221,Franklin D. Roosevelt,,,,
222,Saint-Philippe du Roule,,,,
223,Miromesnil,,,,
224,Saint-Augustin,,,,
225,Havre-Caumartin,,,,
226,Chaussée d'Antin - La Fayette,,,,
227,Richelieu - Drouot,,,,
228,Grands Boulevards,,,,
229,Bonne Nouvelle,,,,
230,Strasbourg - Saint-Denis,,,,
231,République,,,,
232,Oberkampf,,,,
233,Saint-Ambroise,,,,
234,Voltaire,,,,
235,Charonne,,,,
236,Rue des Boulets,,,,
237,Nation,,,,
238,Buzenval,,,,
239,Maraîchers,,,,
240,Porte de Montreuil,,,,
241,Gare d'Austerlitz,,,,
242,Jussieu,,,,
243,Cardinal Lemoine,,,,
244,Maubert - Mutualité,,,,
245,Cluny - La Sorbonne,,,,
246,Odéon,,,,
247,Mabillon,,,,
248,Sèvres - Babylone,,,,
249,Vaneau,,,,
250,Duroc,,,,
251,Ségur,,,,
252,La Motte-Picquet - Grenelle,,,,
253,Avenue Emile Zola,,,,
254,Charles Michels,,,,
255,Javel - André Citroën,,,,
256,Eglise d'Auteuil,,,,
257,Michel-Ange - Auteuil,,,,
258,Porte d'Auteuil,,,,
259,Michel-Ange - Molitor,,,,
260,Chardon Lagache,,,,
261,Mirabeau,,,,
262,Châtelet,,,,
263,Hôtel de Ville,,,,
264,Rambuteau,,,,
265,Arts et Métiers,,,,
266,République,,,,
267,Goncourt,,,,
268,Belleville,,,,
269,Pyrénées,,,,
270,Jourdain,,,,
271,Place des FÃªtes,,,,
272,Télégraphe,,,,
273,Porte des Lilas,,,,
274,Porte de la Chapelle,,,,
275,Marx Dormoy,,,,
276,Marcadet - Poissonniers,,,,
277,Jules Joffrin,,,,
278,Lamarck - Caulaincourt,,,,
279,Abbesses,,,,
280,Pigalle,,,,
281,Saint-Georges,,,,
282,Notre-Dame-de-Lorette,,,,
283,Trinité - d'Estienne d'Orves,,,,
284,Saint-Lazare,,,,
285,Madeleine,,,,
286,Concorde,,,,
287,Assemblée Nationale,,,,
288,Solférino,,,,
289,Rue du Bac,,,,
290,Sèvres - Babylone,,,,
291,Rennes,,,,
292,Notre-Dame des Champs,,,,
293,Montparnasse Bienvenue,,,,
294,Falguière,,,,
295,Pasteur,,,,
296,Volontaires,,,,
297,Vaugirard,,,,
298,Convention,,,,
299,Porte de Versailles,,,,
300,Porte de Vanves,,,,
301,Plaisance,,,,
302,Pernety,,,,
303,Gaîté,,,,
304,Montparnasse Bienvenue,,,,
305,Duroc,,,,
306,Saint-François-Xavier,,,,
307,Varenne,,,,
308,Invalides,,,,
309,Champs-Elysées - Clemenceau,,,,
310,Miromesnil,,,,
311,Saint-Lazare,,,,
312,Liège,,,,
313,Place de Clichy,,,,
314,La Fourche,,,,
315,Guy Môquet,,,,
316,Porte de Saint-Ouen,,,,
317,La Fourche,,,,
318,Brochant,,,,
319,Porte de Clichy,,,,
320,Porte de Clichy,,,,
321,Pont Cardinet,,,,
322,Saint-Lazare,,,,
323,Madeleine,,,,
324,Pyramides,,,,
325,Châtelet,,,,
326,Gare de Lyon,,,,
327,Bercy,,,,
328,Cour Saint-Emilion,,,,
329,Bibliothèque François Mitterrand,,,,
330,Olympiades,,,,
331,Olympiades,,,,
332,Maison Blanche,,,,